data_file,archive_member,declared_data_file,mapping_method,meter,channel,measurement_kind,measurement_semantics,voltage_response_eligible,unit,base_element,nominal_voltage,data_status,start_time,end_time,row_count,valid_count,missing_value_count,invalid_timestamp_count,duplicate_timestamp_count,out_of_order_timestamp_count,sampling_interval_seconds,expected_timestamp_count,missing_timestamp_count,timestamp_coverage_fraction,minimum,p05,mean,median,p95,maximum,standard_deviation,per_unit_status,mean_per_unit
egauge_16-PF_A,magnitudes/egauge_16-PF_A.csv,egauge_16-PF_A,declared_data_file,egauge_16,PF_A,current_magnitude,current_magnitude,False,A,line_427,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,2.405,13.747,106.87816966238816,97.501,227.376,247.387,72.69446880040292,not_applicable,
egauge_16-PF_B,magnitudes/egauge_16-PF_B.csv,egauge_16-PF_B,declared_data_file,egauge_16,PF_B,current_magnitude,current_magnitude,False,A,line_427,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,6.722,15.415,105.11810795013946,81.455,219.004,256.866,73.99268293184595,not_applicable,
egauge_16-PF_C,magnitudes/egauge_16-PF_C.csv,egauge_16-PF_C,declared_data_file,egauge_16,PF_C,current_magnitude,current_magnitude,False,A,line_427,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,6.273,22.063,106.76942990243171,91.905,209.451,255.208,70.57812253824214,not_applicable,
egauge_16-PF_Power,magnitudes/egauge_16-PF_Power.csv,egauge_16-PF_Power,declared_data_file,egauge_16,PF_Power,real_power,real_power,False,W,line_427,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,2.948,14.805,88.65279658800246,73.934,181.186,212.309,60.947223645223225,not_applicable,
egauge_16-SouthPV_A,magnitudes/egauge_16-SouthPV_A.csv,egauge_16-SouthPV_A,declared_data_file,egauge_16,SouthPV_A,current_magnitude,current_magnitude,False,A,line_403,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.502,0.545,55.34666098772006,0.581,213.221,219.674,79.62483182552397,not_applicable,
egauge_16-SouthPV_B,magnitudes/egauge_16-SouthPV_B.csv,egauge_16-SouthPV_B,declared_data_file,egauge_16,SouthPV_B,current_magnitude,current_magnitude,False,A,line_403,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.526,0.562,54.5151192694529,0.604,210.503,216.789,78.53236469793057,not_applicable,
egauge_16-SouthPV_C,magnitudes/egauge_16-SouthPV_C.csv,egauge_16-SouthPV_C,declared_data_file,egauge_16,SouthPV_C,current_magnitude,current_magnitude,False,A,line_403,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,0.551,0.592,54.86650792236202,0.639,211.88,218.108,79.06028848896482,not_applicable,
egauge_16-SouthPV_Power,magnitudes/egauge_16-SouthPV_Power.csv,egauge_16-SouthPV_Power,declared_data_file,egauge_16,SouthPV_Power,real_power,real_power,False,W,line_403,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,-0.729,-0.094,45.63651029501974,-0.074,178.208,183.293,66.9085546998913,not_applicable,
egauge_17-CT1,magnitudes/egauge_17-CT1.csv,egauge_17-CT1,declared_data_file,egauge_17,CT1,current_magnitude,current_magnitude,False,A,line_382,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,259.887,265.75,274.35586836957907,273.388,284.934,304.389,6.118676948557572,not_applicable,
egauge_17-CT2,magnitudes/egauge_17-CT2.csv,egauge_17-CT2,declared_data_file,egauge_17,CT2,current_magnitude,current_magnitude,False,A,line_382,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,262.62,268.204,276.9352461314105,275.402,288.751,310.723,6.710728186249206,not_applicable,
egauge_17-CT3,magnitudes/egauge_17-CT3.csv,egauge_17-CT3,declared_data_file,egauge_17,CT3,current_magnitude,current_magnitude,False,A,line_382,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,271.75,278.148,288.8811856807213,287.874,301.958,324.092,7.675413278009346,not_applicable,
egauge_17-L1,magnitudes/egauge_17-L1.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,2352.502,2362.24,2372.3654220668745,2372.312,2383.248,2391.739,6.3377203487768075,not_applicable,
egauge_17-L2,magnitudes/egauge_17-L2.csv,,unmapped,,,unmapped,unmapped,False,,,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,2356.317,2365.624,2375.9737604078655,2375.881,2387.356,2395.538,6.497214973164573,not_applicable,
egauge_17-V_ab,magnitudes/egauge_17-V_ab.csv,egauge_17-V_ab,declared_data_file,egauge_17,V_ab,voltage_magnitude,derived_or_signed_voltage_channel,False,V,bus_1041,1386.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,2352.502,2362.24,2372.3654220668745,2372.312,2383.248,2391.739,6.3377203487768075,excluded_derived_or_signed_voltage,
egauge_17-V_bc,magnitudes/egauge_17-V_bc.csv,egauge_17-V_bc,declared_data_file,egauge_17,V_bc,voltage_magnitude,derived_or_signed_voltage_channel,False,V,bus_1041,1386.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,-2395.538,-2387.356,-2375.9737604078655,-2375.881,-2365.624,-2356.317,6.497214973164573,excluded_derived_or_signed_voltage,
